Start Time,End Time,Subtitle
01:06:37:04,01:06:38:17,We don't need a volunteer.
01:06:39:04,01:06:40:19,I know someone who ought to get off.
01:06:43:06,01:06:44:06,This one.
01:06:45:14,01:06:46:21,He's a German spy.
01:06:47:01,01:06:48:10,Don't be daft.
01:06:48:14,01:06:50:03,He's a fucking Jerry.
01:06:51:00,01:06:53:02,Have you noticed he hasn't said a word?
01:06:54:19,01:06:55:23,'Cause I have.
01:06:56:20,01:06:57:20,He don't speak English.
01:06:58:00,01:07:01:04,If he does it's with an accent that's thicker than sauerkraut sauce.
01:07:01:08,01:07:03:01,You're daft. Tell him.
01:07:03:14,01:07:04:20,Yeah.
01:07:08:05,01:07:10:15,Tell me.
01:07:35:17,01:07:36:23,"Tell me, Gibson."
01:07:45:00,01:07:46:01,Tell me!
01:07:47:03,01:07:48:15,"Tell him, for God's sake!"
01:07:57:11,01:07:59:02,A frog.
01:07:59:13,01:08:01:02,A bloody frog.
01:08:01:20,01:08:04:22,A cowardly little queue-jumping frog.
01:08:05:14,01:08:06:23,"Who's Gibson, eh?"
01:08:07:03,01:08:09:14,"Some naked, dead Englishman lying out on that sand?"
01:08:09:18,01:08:11:19,Did you at least have the decency to bury him?
01:08:12:00,01:08:13:21,He did. I helped him. I thought it was his mate.
01:08:13:23,01:08:15:09,- Maybe he killed him. - He didn't kill him.
01:08:15:09,01:08:16:09,How do we know?
01:08:16:13,01:08:18:23,How hard is it to find a dead Englishman on Dunkirk beach?
01:08:19:03,01:08:20:09,He didn't kill anyone.
