Start Time,End Time,Subtitle
00:34:15:01,00:34:18:04,You think I care what anyone in this room thinks of me?
00:34:19:20,00:34:22:05,I doubt you care what anyone in any room thinks of you.
00:34:22:08,00:34:26:02,"Don't condescend, Mr. Wayne. You don't know a thing about me."
00:34:26:17,00:34:30:22,"Well, Selina Kyle, I know you came here from your walk-up in Old Town."
00:34:31:02,00:34:32:22,A modest place for a master jewel thief.
00:34:33:02,00:34:36:09,Which means that either you're saving for retirement...
00:34:36:24,00:34:39:02,...or you're in deep with the wrong people.
00:34:40:10,00:34:44:09,You don't get to judge me because you were born in the master bedroom of Wayne Manor.
00:34:44:13,00:34:48:21,#NAME?
00:34:50:01,00:34:53:10,"Once you've done what you had to, they never let you do what you want to."
00:34:53:14,00:34:54:20,Start fresh.
00:34:55:00,00:34:58:06,Ugh. There's no fresh start in today's world.
